AuthorID,Author,Date,Content,Attachments,Reactions
"589621262733672461","haydenadams#3292","01-Feb-20 10:46 PM","ANNOUNCEMENT: There is now an announcements channel","",""
"589621262733672461","haydenadams#3292","01-Feb-20 10:49 PM","Rules: only Uniswap team members can post here, everyone else can only read posts and add reactions","","🎉 (29),💩 (11),🇨 (18),🇴 (18),🅾️ (19),🇱 (17),😱 (9),🚀 (15),🦄 (14),👍🏼 (10)"
"589621262733672461","haydenadams#3292","10-Mar-20 01:22 PM","Uniswap data on CMC!!!

https://twitter.com/UniswapExchange/status/1237424559134998528","","😍 (17),🚀 (13),Uni (6)"
"589621262733672461","haydenadams#3292","23-Mar-20 04:28 PM","🦄  We're incredibly excited to announce the full details of Uniswap V2!!!

 @everyone 

https://twitter.com/UniswapExchange/status/1242183677590810626","","💯 (35),🦄 (37),🥳 (25),👍 (24),👆🏻 (16),🙌 (17),🎉 (14),🚀 (12),👏🏼 (14),❤️ (12)"
"589621262733672461","haydenadams#3292","23-Mar-20 04:29 PM","Read our announcement blogpost:

https://uniswap.org/blog/uniswap-v2/

And checkout the updated protocol site

https://uniswap.org/","","🔥 (37),🦄 (27),🦠 (16),🚀 (19),😁 (5)"
"589621262733672461","haydenadams#3292","15-Apr-20 01:51 PM","Uniswap V1 has never been broken. Can you break Uniswap V2?

Announcing the Uniswap V2 Bug Bounty Program

https://uniswap.org/bug-bounty/","","🚀 (10),👍 (7)"
"589621262733672461","haydenadams#3292","05-May-20 05:19 PM","The Uniswap V2 audit and formal verification is finished!

https://uniswap.org/audit.html","","🤯 (7),💯 (5),🥳 (7),RunningUnicorn (6),🚀 (5)"
"589621262733672461","haydenadams#3292","06-May-20 07:27 PM","Hi everyone, we would love user feedback on our updated (and in progress) Uniswap V2 interface! If you're interested, please visit https://v2.uniswap.exchange/ and connect your wallet to the Rinkeby testnet. It will also work with all other testnets, but they do not all have pools with liquidity in the default list 🙂 

The site includes a link to a feedback form or just put your thoughts in #📝feedback 🙂","","👍 (5)"
"589621262733672461","haydenadams#3292","06-May-20 07:28 PM","For more information on v2 please read the announcement blog

https://uniswap.org/blog/uniswap-v2/","","🚀 (11),😀 (6)"
"589621262733672461","haydenadams#3292","18-May-20 01:38 PM","Uniswap V2 has launched on the Ethereum mainnet!!!

Read the launch blogpost here: 
https://uniswap.org/blog/launch-uniswap-v2/

Or the tweet storm here:
https://twitter.com/UniswapProtocol/status/1262435668539715587","","🔥 (27),👏 (17),👍 (12),🇺 (9),🇳 (8),🇮 (8),🇸 (9),🇼 (9),🇦 (9),🇵 (9),🚀 (9)"
"182969707299733504","Noah Zinsmeister#4144","05-Jun-20 06:56 PM","fee-on-transfer tokens should now be supported in the UI!

note that when swapping FoT tokens, it's required that you specify only an exact _input_, not _output_. additionally, please ensure that you set a slippage tolerance high enough to compensate for whatever fee the token extracts. for example, if a token takes a 1% fee on transfer, ensure your slippage is ~1.5% or so.","","👍 (8)"
"274208745699934220","callil#5116","12-Jun-20 06:20 PM","We’ve slightly adjusted how settings work on the web app. You’ll now notice a gear for the settings in the top nav. Clicking this will open the new settings pane. We’ve moved the slippage, deadline and a few other things here to declutter the main UI. 

You’ll also find an expert mode for people who want the classic v1 swap behavior without a confirm screen. Please use with caution.

Let us know in #📝feedback what you think and feel free to request features for future versions!

-c","",""
"589621262733672461","haydenadams#3292","13-Jun-20 09:55 PM","We've been receiving reports of scammers impersonating team members and opening up DMs with people in our discord. 

No one from our team will ever open up a new dm with you to answer a support question","",""
"274208745699934220","callil#5116","19-Jun-20 10:56 AM","Reminder always Be Careful:

⚠️ Be suspicious of anyone who reaches out to you in private
⚠️ Never share your private keys or passwords with ANYONE (even if they claim to be from the Uniswap Team)
⚠️ Do not click on any links or download any files sent to you in a private message
⚠️ Never send funds to anyone you don't know

**Uniswap members will NEVER DM you first and NEVER ask for your information or send you links to ""fix"" your account.**","",""
"274208745699934220","callil#5116","19-Jun-20 10:57 AM","In other news there is now an #📌faq-old channel that addresses some of the most commonly asked questions! If you think anything should be added there let us know in  #📝feedback  🙂","",""
"589621262733672461","haydenadams#3292","30-Jun-20 01:40 PM","Check out our recent efforts to decentralize the Uniswap interface! More to come :)

https://uniswap.org/blog/ipfs-uniswap-interface/","","👍 (29),👀 (15),🚀 (15),🎉 (12),🎊 (10),🥳 (10),💯 (16),🆗 (3)"
"383836935480803339","moody 🦄#6640","02-Jul-20 12:00 PM","Pinned a message.","",""
"383836935480803339","moody 🦄#6640","08-Aug-20 12:25 PM","@everyone We are seeing a huge number of phishing sites pretending to be Uniswap. The *only* legit Uniswap interface is https://app.uniswap.org
We do not run any google ads. If you see a Google ad for Uniswap, it is a scam, do not click it, and please also report it. __Even if the Google ad says app.uniswap.org, it is not from us, and could be a phishing site__. Never enter your seed phrase or private key in any website, and never execute a swap on Uniswap from any URL other than https://app.uniswap.org
TLDR: If it looks like Uniswap, but is not at app.uniswap.org, it's a scam!","","👍 (56),💯 (22),❤️ (19)"
"383836935480803339","moody 🦄#6640","08-Aug-20 12:29 PM","Reporting a fake Uniswap Google Ad:
Click ""Why this ad?""
Click ""Report this ad""
Select ""An ad violates other Google Ads policies""
Select ""Search Ad""
Select ""Cyber Frauds""
Select ""Phishing""
Under additional details, enter ""Fake Uniswap Interface""
Hit Submit

Reporting a fake Uniswap site to Google:
Go to https://safebrowsing.google.com/safebrowsing/report_phish/
Enter the URL here
Enter ""This site is imitating app.uniswap.org to steal user funds"" in the additional details
Hit Submit Report","https://cdn.discordapp.com/attachments/673373498290470932/741694460613886063/unknown.png","👍 (64),🍉 (16),RunningUnicorn (13)"
"274208745699934220","callil#5116","26-Aug-20 04:02 PM","We are excited to announce Token Lists, a new standard for creating lists of ERC20 tokens. This is a community initiative to improve discoverability and trust in ERC20 token lists in a manner that is inclusive, transparent, and decentralized.

Read more at the blog post: https://uniswap.org/blog/token-lists/
Or browse lists at https://tokenlists.org","","👍 (38),📝 (14),🎉 (19),💩 (8)"
"274208745699934220","callil#5116","16-Sep-20 08:28 PM","Hi everyone - you may have seen by now but we just launched UNI! 
https://uniswap.org/blog/uni","","👀 (32),🥳 (43),😀 (27),👍 (25),🦄 (35),😢 (13),🤩 (12),😭 (8),😰 (9),🤬 (8),😡 (8),💯 (9),💩 (10),⤵️ (8),😫 (7),🤮 (6),😈 (7),👹 (8)"
"274208745699934220","callil#5116","16-Sep-20 08:33 PM","I made a fun token logo for the launch and the main site https://app.uniswap.org/#/swap should be updated very very soon and you'll be able to CLAIM UNI!","https://cdn.discordapp.com/attachments/673373498290470932/755949427256197220/twitter.png","👀 (53),💯 (53),👍 (48),🤿 (12),Hayden (12),👺 (9),🎃 (9),🤖 (9),💄 (9),👯‍♀️ (10),⤵️ (9),🤮 (12),🇺🇦 (9),😌 (6),Robert (2)"
"274208745699934220","callil#5116","16-Sep-20 08:35 PM","Some info and a special note for this community:

**Uniswap owes its success to the thousands of community members that have joined its journey over the past two years. These early community members will naturally serve as responsible stewards of Uniswap.

15% of UNI [150,000,000 UNI] can immediately be claimed by historical liquidity providers, users, and SOCKS redeemers/holders based on a snapshot endingSeptember 1, 2020, at 12:00 am UTC.
**","","RunningUnicorn (306),🥰 (213),❤️ (225),🚀 (155),🔥 (112),🎉 (106),😄 (85),💯 (93),☀️ (77),👍 (102),🍻 (68),🐉 (60),🇨🇳 (68),🤩 (70),💩 (51),👀 (61),🦄 (122),😭 (77),😫 (65),😍 (86)"
